No., angle,position,calibration,modulus,answer
0,135,0,110,100,14
0,45,50,90,80,13
0,45,25,90,100,15
0,90,75,90,100,12
0,90,50,90,100,11
0,90,0,90,100,10
0,45,75,90,100,9
0,90,25,90,100,8
0,45,0,90,100,7
0,45,100,90,100,6
